Index,X,Y,Z,Azimuth,Elevation,Distance
1,-17.454,14.685,6.35,49.924272476203214,15.556561631646145,23.677285338484225
2,-14.195,15.964,6.35,41.64311699481445,16.554729544707172,22.28609030314649
3,-9.935,15.964,6.35,31.895563767094757,18.66042862487958,19.846310009671825
4,-5.67,15.968,6.35,19.549195951568038,20.543307636751038,18.09553602411379
5,-1.891,15.956,6.35,6.758792591074297,21.56411469571035,17.276930196073607
6,1.891,15.96,6.35,-6.757114322997239,21.55927406014651,17.28062443894896
7,5.664,15.963,6.35,-19.535729414415016,20.55077572113627,18.089244456306073
8,9.426,15.966,6.35,-30.556733754352393,18.905677562333636,19.598090008977916
9,13.721,15.965,6.35,-40.6771650636864,16.78580768579255,21.98794137703664
10,17.521,14.724,6.35,-49.95754897858629,15.507145946069468,23.750876131208297
11,18.749,11.471,6.35,-58.54090067190245,16.114135634069452,22.878621942765697
12,18.754,7.65,6.35,-67.80881502478762,17.406954327625275,21.22634014614861
13,18.758,3.827,6.35,-78.46879047910522,18.350140039801953,20.170051883919385
14,18.763,0.0,6.35,-90.0,18.697465364580452,19.808398950950075
15,18.768,-3.815,6.35,-101.49005378234355,18.343520712126512,20.177079793666874
16,18.711,-7.65,6.35,-112.23721850313794,17.43915750970632,21.18835814781315
17,18.721,-11.475,6.35,-121.50613261981596,16.129294947798453,22.85768942828649
18,17.538,-14.72,6.35,-130.0074197499847,15.500411793502204,23.760941563835388
19,13.758,-15.982,6.35,-139.27670055684172,16.757996646270726,22.02338275560773
20,9.508,-16.001,6.35,-149.28067385040936,18.837802924111056,19.66612735136229
21,5.733,-15.986,6.35,-160.270831294352,20.50102814566846,18.131243338502742
22,1.956,-15.996,6.35,-173.0284493971352,21.506385942414,17.32109846401203
23,-1.828,-16.004,6.35,173.4838331779224,21.514982941853454,17.314505479510526
24,-5.613,-16.016,6.35,160.68637337062034,20.51412170506853,18.120169011353063
25,-9.864,-16.084,6.35,148.48003168859907,18.60078195311492,19.90768826358299
26,-14.128,-16.119,6.35,138.76604504546788,16.50225393667093,22.35497808095548
27,-17.381,-14.867,6.35,130.54233301591034,15.516380304637675,23.737088069095584
28,-18.657,-11.613,6.35,121.90008915962846,16.116720300614986,22.87505012016367
29,-18.655,-7.762,6.35,112.59129013365765,17.44650574438155,21.179711258655065
30,-18.657,-3.937,6.35,101.91574048455573,18.41883954145083,20.097415704512855
31,-18.638,-0.128,6.35,90.39348344672413,18.81365618777044,19.69045271191092
32,-18.664,3.689,6.35,78.8194138175325,18.457461771321196,20.056822205922852
33,-18.666,7.508,6.35,68.0885956130711,17.51653105317365,21.097680441223865
34,-18.664,11.354,6.35,58.686307352932374,16.20745003456103,22.750400260215205
35,-14.064,15.605,23.48,42.0267441568534,48.18117308198976,31.505912476866943
36,-5.494,15.615,23.48,19.383971500176415,54.81630077393022,28.72842949066308
37,5.624,15.564,23.48,-19.867154457329946,54.82343115944717,28.725909419894787
38,13.484,15.613,23.48,-40.81517941848557,48.697240224091416,31.255310348803132
39,18.577,11.375,23.48,-58.520184895543764,47.14723361866858,32.028205600688906
40,18.636,3.513,23.48,-79.324666417176,51.07303934584,30.181982456425885
41,18.542,-3.91,23.48,-101.90765603615027,51.094383508832465,30.172906124534975
42,18.565,-11.765,23.48,-122.36322675252661,46.8912076706369,32.16185395775561
43,13.792,-15.75,23.48,-138.7919334294767,48.27924374053764,31.45778383802648
44,5.541,-15.73,23.48,-160.59483933484086,54.614546350786306,28.80010383661837
45,-5.588,-15.714,23.48,160.42428465338207,54.61357584057549,28.800450343701225
46,-13.814,-15.69,23.48,138.63823129802267,48.320829966314626,31.437447351844586
47,-18.298,-11.515,23.48,122.18236106292255,47.362013974342574,31.917431428609664
48,-18.287,-3.854,23.48,101.90097397384443,51.48226481042864,30.009633203356554
49,-18.259,3.874,23.48,78.02122872784099,51.517022737888226,29.995155558856503
50,-18.233,11.447,23.48,57.87867071027594,47.482709306836405,31.855713741807765
51,-5.253,14.672,0.5,19.69883504218265,1.8376561976357983,15.592036204421795
52,-7.388,13.287,0.5,29.075469143114617,1.8836962137660913,15.21107862710597
53,-9.751,13.297,0.5,36.25346412941968,1.7368455437435681,16.496733312992607
54,-12.113,13.307,0.5,42.31074287187627,1.5916288379761228,18.001417110883242
55,11.362,12.962,0.5,-41.236582339003235,1.6615497143913291,17.244085594777125
56,12.187,12.052,0.5,-45.31910764706666,1.6709484483765435,17.147118504285203
57,13.462,11.607,0.5,-49.23193285844695,1.6112776989481532,17.781954138957843
58,14.892,11.612,0.5,-52.05476444370686,1.5166811718768036,18.89074397687926
